,id,name,latitude,lng,review,formatted address,phoneNumber,url,rate,description,image,category
10,10,The Liberation of Paris Museum - General Leclerc Museum - Jean Moulin Museum,48.83412695,2.331828121,"2 separate museums, documenting the lives of French liberator Leclerc & resistance leader Moulingood choice for kids","4 Avenue du Colonel Henri Rol-Tanguy, 75014 Paris, France",33140643944,http://www.museeliberation-leclerc-moulin.paris.fr/,4.5,"fantastic, free museum exhibition extremely detailed well curated, lots text explanations (from summaries thorough details), images, audio video testimonies, original video recordings second word war , historical 2 separate museums, documenting lives french liberator leclerc & resistance leader moulingood choice kids",https://www.leparisien.fr/resizer/L1uj740t5NjGJnYw9IC-WVA0jhs=/932x582/arc-anglerfish-eu-central-1-prod-leparisien.s3.amazonaws.com/public/TQPIDVOUGQIY4WSZHJU3V66MUY.jpg,museum
11,11,The Herbe Museum,48.86025415,2.342081513,Children's art museum with active learning programs based on the work of famous artists.,"23 Rue de l'Arbre Sec, 75001 Paris, France",33140679766,http://museeenherbe.com/,4.0,murakami japanese monsters creatures ended awesome. museum quite small adapted children kidschildren's art museum active learning programs based work famous artists.,https://i0.wp.com/www.urbansider.com/wp-content/uploads/2019/05/Musee-en-herbe-3.jpg?fit=1174%2C1174&ssl=1,museum
12,12,Louvre Museum,48.86086117,2.337629047,"Former historical palace housing huge art collection, from Roman sculptures to da Vinci's ""Mona Lisa.""","Rue de Rivoli, 75001 Paris, France",33140205050,https://www.louvre.fr/,5.0,"amazing place full history, arts different artist, beautiful architectur, paintaing arts, really historical.former historical palace housing huge art collection, roman sculptures da vinci's ""mona lisa.""",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjFNdX6NlnqeW-6zFLfbuJAfqgeO3z_6wLdC0S-W6GVkDvgPbOCKLn-Ig7zTX_eLYANSo&usqp=CAU,museum
13,13,MusΘe des Archives Nationales ,48.8601073,2.357252985,"Museum telling the story of the state archives & displaying significant documents, maps & images.","60 Rue des Francs Bourgeois, 75003 Paris, France",33140276096,http://www.archives-nationales.culture.gouv.fr/musee,4.5,"really interesting. lots cool historical documents.museum telling story state archives & displaying significant documents, maps & images.",https://www.archives-nationales.culture.gouv.fr/documents/10157/11433/Cour-Honneur-Soubise.jpg/4944889b-22e0-40eb-8672-8d47220b244e?t=1395937018000?t=1395937018000?t=1395937018000?t=1395937018000,museum
14,14,MusΘe du Barreau de Paris,48.86417769,2.345115458,"Museum in 1600s cellars about the Paris bar, with art, manuscripts & exhibits from famous trials, good for family ","25 Rue du Jour, 75001 Paris, France",33144324748,http://www.museedubarreaudeparis.com/,4.0,"passionate guide exhibition full history first world war, historical, contains lots paintingsmuseum 1600s cellars paris bar, art, manuscripts & exhibits famous trials, good family",https://www.museedubarreaudeparis.com/wp-content/uploads/2017/04/musee-prez-3.jpg,museum
15,15,Museum of Contemporary History,48.85712527,2.313289986,Very rich collection of medieval and 14-18th century military artifacts.,"Les Invalides, 129 Rue de Grenelle, 75007 Paris, France",33144425491,http://www.lacontemporaine.fr/,4.5,"good highly recommended intrested war issues staffs, historical rich old war toolsvery rich collection medieval 14-18th century military artifacts.",https://www.moscovery.com/wp-content/uploads/2017/06/header-2.jpg,museum
16,16,Air France Museum,48.86261818,2.314710785,"it's about the history of france air flights, ports and stories","2 Rue Robert Esnault-Pelterie, 75007 Paris, France",33143172179,http://www.museeairfrance.org/,3.5,"see historical air france advertising poster, models, calendars, toys, uniform, decorations, maps, historical event pictures many things air france.it's history france air flights, ports stories",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiKgXVIPH0CpSeQ_-Wb24t5hkczUAlsvyL1G4KhLZ-uoJk9Zh_SmtyA1Ng7NlToS6pzwA&usqp=CAU,museum
17,17,Petit Palais,48.86623493,2.3145896,"Richly decorated 1900 building, housing eclectic fine arts dating from Renaissance to 20th century, good for family and kids","Avenue Winston Churchill, 75008 Paris, France",33153434000,https://www.petitpalais.paris.fr/,4.5,"fabulous. interior exotic garden awesome. cup tea ristretto garden, rich amazing remarkable statues, free spaces nice interior design architectural patternsrichly decorated 1900 building, housing eclectic fine arts dating renaissance 20th century, good family kids",https://mywowo.net/media/images/cache/parigi_grand_petit_palais_01_introduzione_jpg_1200_630_cover_85.jpg,museum
18,18,MusΘe National Picasso,48.85999397,2.362317186,"17th-century building holding 5,000 artworks by Pablo Picasso, his own art collection & archive.","5 Rue de Thorigny, 75003 Paris, France",33185560036,http://www.museepicassoparis.fr/,4.5,"holds interesting pieces work picasso influential french artists course recent history17th-century building holding 5,000 artworks pablo picasso, art collection & archive.",https://cache-graphicslib.viator.com/graphicslib/page-images/742x525/706284_Viator_Shutterstock_26478.jpg,museum
19,19,SacrΘ-C£ur,48.89270793,2.34225098,"Iconic, domed white church, completed in 1914, with interior mosaics, stained-glass windows & crypt.","35 Rue du Chevalier de la Barre, 75018 Paris, France",33153418900,http://www.sacre-coeur-montmartre.com/,4.5,"beautiful church fantastic location. peaceful calming, fininshed first world war, historical monumenticonic, domed white church, completed 1914, interior mosaics, stained-glass windows & crypt.",https://media.tacdn.com/media/attractions-splice-spp-674x446/06/75/b0/22.jpg,monument
20,20,Arc de Triomphe,48.87916261,2.295902408,"Iconic triumphal arch built to commemorate Napoleon's victories, with an observation deck, good for family and kids","Place Charles de Gaulle, 75008 Paris, France",33155377377,http://www.paris-arc-de-triomphe.fr/,5.0,"loved place much. amazing views paris eiffel tour interesting place visiticonic triumphal arch built commemorate napoleon's victories, observation deck, good family kids",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJJne5a0Uz7sVowlIGWqAsv_O4XdSYSR3PxWy2Tv-FXyojl7Qribo5vL_taA9MWzljHUI&usqp=CAU,monument
21,21,Catacombs of Paris,48.83963446,2.331951297,Illuminated labyrinth in former limestone mine with millions of ghoulishly arranged skeletons.,"1 Avenue du Colonel Henri Rol-Tanguy, 75014 Paris, France",33143224763,http://www.catacombes.paris.fr/,4.0,"important history paris france itself, historical, remarkable, historical place, christian illuminated labyrinth former limestone mine millions ghoulishly arranged skeletons.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSd0d7c6qPJbh93Kou2PsBlH-wmwYrbhPYUAA&usqp=CAU,Historical place
22,22,Montparnasse Tower,48.84822037,2.321651615,Modern 210m tower with panoramic views from roof terrace and 56th-floor observation deck.,"33 Avenue du Maine, 75015 Paris, France",0,0,4.5,"modern architecture, fully see eiffel towermodern 210m tower panoramic views roof terrace 56th-floor observation deck.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1Vwob_Op56-8FnHxuXWiIN-GwCgdAPlTkRtxNJa6-C2-auwG4BhV4dSmqVGI_uACYlNw&usqp=CAU,landmark
23,23,Conciergerie,48.86358095,2.345684207,"Gothic, riverside fortress & French Revolution prison, housing Marie Antoinette's former cell, good for family and kids","2 Boulevard du Palais, 75001 Paris, France",33153406080,http://www.paris-conciergerie.fr/,4.5,"great attraction learn french revolution history. worth visit educate kids loads interactive information, church also there, goor architecture architectural sights gothic, riverside fortress & french revolution prison, housing marie antoinette's former cell, good family kids",https://cityzore.s3.eu-central-1.amazonaws.com/product-images/conciergerie.admission.tickets.seine.river.cruise9.jpg,museum
24,24,"CathΘdrale Notre-Dame de Paris
",48.85459168,2.350202233,"Towering, 13th-century cathedral with flying buttresses & gargoyles, setting for Hugo's novel.","6 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, France",33142345610,https://www.notredamedeparis.fr/,4.5,"famous notre dame cathedral, masterpiece gothic architecture regarded symbolic heart paris. construction began 12th centurytowering, 13th-century cathedral flying buttresses & gargoyles, setting hugo's novel.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv0DkTMAJt2E1C8ExCwYen8oC2Lrkm-gx8cQ&usqp=CAU,Cathedral church
25,25,Quartier Latin,48.85403903,2.343239439,latin place,"22 Boulevard Saint-Michel, 75005 Paris, France",0,0,4.5,"latin quarter paris busy neighborhood tourists, many monuments, fraud thefts, special shopping,latin place",https://lh3.googleusercontent.com/proxy/0hzNaSHm3oMetqon3_D1TCcEr4lfThg-xiXSoLrxObC26Twlttc0lS_MQwQQCjNsPQDM44OrwbNvr7MhPSfRyx1UV3QtVqACcx---C2N7Vsq2VcfmeKdZQ,"Tourist attraction, street

"
26,26,Place Louis Aragon,48.85686269,2.35336746,relaxing place,"Place Louis Aragon, Quai de Bourbon, 75004 Paris, France",0,0,5.0,"small end ile saint louis. nice land banks seine, bank river, street, naturerelaxing place",https://fastly.4sqi.net/img/general/600x600/3602037_kN_4iqbxrnADsgbta8CLImEjMWyJlG-v5TnYSUhMjgI.jpg,"river bank, street, nature, gardens, monuments,"
27,27,Place des Vosges,48.85776623,2.365040433,"Oldest planned square in Paris, lined with trees and red brick houses, built by Henri IV in 1612, good for family and kids","Place des Vosges, 75004 Paris, France",0,http://www.parisinfo.com/transports/73189/Place-des-Vosges,4.5,"relaxing joyful park oldest planned square paris, lined trees red brick houses, built henri iv 1612, good family kids",https://bonjourparis.com/wp-content/uploads/2019/12/pdv1.jpg,"park, garden, nature, monuments,"
28,28,Square Jean XXIII,48.8534041,2.350828164,"a good place to know about history of paris, suits family and kids ","4 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, France",33144547504,0,4.5,"cathedral situated bank river seine, historical good place know history paris, suits family kids",https://frenchmoments.eu/wp-content/uploads/2017/04/Notre-Dame-de-Paris-printemps-from-Pont-de-larcheveche-%C2%A9-French-Moments.jpg,"park, garden, nature, history of france, river bank"
29,29,Opera Gallery Paris,48.87058942,2.319142107,"good for people who love modern arts, suits friends ","62 Rue du Faubourg Saint-Honor?, 75008 Paris, France",33142963900,http://www.operagallery.com/,4.5,"0good people love modern arts, suits friends",https://www.operagallery.com/media/fair/representative/resized/Biennale%20Paris%202019%20photo%201.jpg,"gallery, art, interior design, statues"
